Site,Date,Time,SampleID,ROI_ID,Latitude,Longitude,MSL,LAI,SMP
Teller_MM27,20220709,03:31:05pm,TLAI0001,1,64.73434049,-165.9388534,113.275,3.44,5
Teller_MM27,20220709,03:37:38pm,TLAI0002,2,64.73438875,-165.9391222,114.315,2.59,4
Teller_MM27,20220709,03:43:12pm,TLAI0003,3,64.73464224,-165.9390296,116.339,2.37,5
Teller_MM27,20220709,03:45:50pm,TLAI0004,4,64.73498549,-165.9395267,119.94,4.78,4
Teller_MM27,20220709,03:48:00pm,TLAI0005,5,64.73508061,-165.9395977,120.92,1.92,5
Teller_MM27,20220709,03:50:20pm,TLAI0006,6,64.73526279,-165.9401154,124.111,5.33,5
Teller_MM27,20220709,03:53:31pm,TLAI0007,7,64.7353538,-165.940432,126.094,2.2,5
Teller_MM27,20220709,03:57:00pm,TLAI0008,8,64.73547458,-165.9408226,128.939,1.1,5
Teller_MM27,20220709,03:59:55pm,TLAI0009,9,64.73558916,-165.9414718,131.915,5.06,5
Teller_MM27,20220709,04:06:52pm,TLAI0010,10,64.73535047,-165.9411905,128.624,5.05,5
Teller_MM27,20220709,04:19:38pm,TLAI0011,11,64.73270832,-165.9391436,102.251,1.63,5
Teller_MM27,20220709,04:23:22pm,TLAI0012,12,64.73291804,-165.9398011,104.825,1.9,5
Teller_MM27,20220709,04:25:50pm,TLAI0013,13,64.73296538,-165.9402552,106.247,3.51,5
Teller_MM27,20220709,04:28:48pm,TLAI0014,14,64.7330188,-165.9411344,108.755,3.92,4
Teller_MM27,20220709,04:32:11pm,TLAI0015,15,64.73335542,-165.9410517,110.538,3.58,5
Teller_MM27,20220709,04:34:40pm,TLAI0016,16,64.73331103,-165.9415854,111.568,2.25,5
Teller_MM27,20220709,04:37:30pm,TLAI0017,17,64.73356733,-165.9419185,114.398,4.58,5
Teller_MM27,20220709,04:40:19pm,TLAI0018,18,64.73375286,-165.9420467,115.97,0.93,5
Teller_MM27,20220709,04:43:37pm,TLAI0019,19,64.73399263,-165.9420594,117.733,4.23,5
Teller_MM27,20220709,04:46:15pm,TLAI0020,20,64.73411569,-165.9419517,118.944,0.41,5
Teller_MM27,20220709,04:48:58pm,TLAI0021,21,64.73416293,-165.94217,120.459,2.39,5
Teller_MM27,20220709,04:51:45pm,TLAI0022,22,64.73422389,-165.9421036,120.96,1.51,4
Teller_MM27,20220709,04:56:07pm,TLAI0023,23,64.73296468,-165.9415765,109.955,4.49,5
Teller_MM27,20220709,04:59:25pm,TLAI0024,24,64.73303609,-165.9421454,111.966,6.06,4
Teller_MM27,20220709,05:01:54pm,TLAI0025,25,64.73310933,-165.9423042,113.073,0.82,4
Teller_MM27,20220709,05:07:20pm,TLAI0026,26,64.73334882,-165.9423141,114.529,5.3,5
Teller_MM27,20220709,05:12:04pm,TLAI0027,27,64.73308264,-165.9415373,110.491,4.27,4
Teller_MM27,20220709,05:14:12pm,TLAI0028,28,64.73307149,-165.9413586,110.01,2.7,4
Teller_MM27,20220709,05:16:13pm,TLAI0029,29,64.73318145,-165.9409594,109.639,1.32,5
Teller_MM27,20220709,05:20:22pm,TLAI0030,30,64.73274146,-165.9388819,102.026,2.04,5
Teller_MM27,20220709,05:28:02pm,TLAI0031,31,64.73097581,-165.9402258,96.996,0.88,4
Teller_MM27,20220709,05:30:49pm,TLAI0032,32,64.73118597,-165.9409346,98.939,0.86,5
