Site,Date,Time,SampleID,ROI_ID,Latitude,Longitude,MSL,LAI,SMP,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
Teller_MM27,20220709,03:31:05pm,TLAI0001,1,64.73434049,-165.9388534,113.275,3.44,5,1715.740385,1079.627219,6817.073225,9954.920118,226.8609234,247.0363501,1124.882875,1359.233371,5.86640625,5.045143562
Teller_MM27,20220709,03:37:38pm,TLAI0002,2,64.73438875,-165.9391222,114.315,2.59,4,1722.743561,949.0871212,7818.783712,11545.74432,419.1720721,262.1941593,2161.038742,2992.322873,NA,27.3284264
Teller_MM27,20220709,03:43:12pm,TLAI0003,3,64.73464224,-165.9390296,116.339,2.37,5,1887.931213,1060.209689,8286.769231,12291.25407,350.6185303,238.1929008,1488.774058,2179.173235,8.540625,9.167243621
Teller_MM27,20220709,03:45:50pm,TLAI0004,4,64.73498549,-165.9395267,119.94,4.78,4,2022.62456,1074.469327,9669.542409,14660.99541,333.2512599,434.9490353,1686.69885,2531.31826,40.23890386,29.59655909
Teller_MM27,20220709,03:48:00pm,TLAI0005,5,64.73508061,-165.9395977,120.92,1.92,5,1396.576923,814.0306953,7761.465237,11379.3676,94.98999694,96.35675336,731.3003002,982.3318808,2.65421875,3.208632921
Teller_MM27,20220709,03:50:20pm,TLAI0006,6,64.73526279,-165.9401154,124.111,5.33,5,1465.887521,653.3262178,10904.82759,16631.03421,140.436234,100.4967121,1648.244169,2935.030153,33.89612474,16.98896452
Teller_MM27,20220709,03:53:31pm,TLAI0007,7,64.7353538,-165.940432,126.094,2.2,5,1671.878698,886.7914201,10216.56768,15651.19859,138.1945823,128.0513799,1187.619679,1564.422383,5.166455696,4.104831559
Teller_MM27,20220709,03:57:00pm,TLAI0008,8,64.73547458,-165.9408226,128.939,1.1,5,2212.615015,1168.569157,11498.80473,19859.54401,143.5489945,146.3452239,685.1616326,1251.296926,4.31453125,2.433868202
Teller_MM27,20220709,03:59:55pm,TLAI0009,9,64.73558916,-165.9414718,131.915,5.06,5,2805.261641,1237.613636,14208.14191,26111.801,249.7997307,280.5945748,1423.948287,2612.913188,55.41662292,29.49869207
Teller_MM27,20220709,04:06:52pm,TLAI0010,10,64.73535047,-165.9411905,128.624,5.05,5,1573.450167,669.9253066,10453.88138,19515.49944,339.8234633,172.4096267,2435.721473,NA,69.93552381,38.07003906
Teller_MM27,20220709,04:19:38pm,TLAI0011,11,64.73270832,-165.9391436,102.251,1.63,5,1622.4,1389.51,8183.22,12944.88,156.9419697,298.2849215,907.3218686,1675.689428,36.9065625,7.170245995
Teller_MM27,20220709,04:23:22pm,TLAI0012,12,64.73291804,-165.9398011,104.825,1.9,5,1554.283099,953.6381879,7619.683092,13568.75793,145.7311746,139.2602091,822.7904153,1420.841408,12.00679012,4.941574079
Teller_MM27,20220709,04:25:50pm,TLAI0013,13,64.73296538,-165.9402552,106.247,3.51,5,1427.419,668.941,6953.018,11040.068,353.308059,174.4236304,1712.820205,2306.316701,20.8915404,24.99214772
Teller_MM27,20220709,04:28:48pm,TLAI0014,14,64.7330188,-165.9411344,108.755,3.92,4,1368.272,728.05,7757.544,12521.553,331.5875116,309.5200058,1862.414435,2839.387558,44.15549759,24.5608522
Teller_MM27,20220709,04:32:11pm,TLAI0015,15,64.73335542,-165.9410517,110.538,3.58,5,1420.655695,895.868713,7987.882027,11400.26294,170.5868637,294.3251003,983.0038461,1243.156661,5.037037037,4.871098292
